k r	k ∅	. _
r	ɣ	. k _
k r	kʲ ∅	. _
kʰ r	kʰ ∅	. _
kʰ r	kʰ ∅	. _
kʰ r	kʰ ɣ	. _
l	l	. _
l	l	. _
l	d	. _
k l	kʷ ∅	. _
p	f	# _
ɓ̥ˀ	ɓˀ	# _
ɓˀ	ɓˀ	# _
ɓ̥ˀ	p	# _
b	p	# _
ɓ̥ˀ	p	# _
p	p	# _
ɓ̥ˀ	ɓˀ	# _
b	b	# _
b	b	# _
ɓˀ	ɓˀ	# _
ɓ̥ˀ	f	# _
ɓ̥ˀ	p	# _
ɓ̥ˀ	p	# _
ɓ̥ˀ	f	# _
ɓ̥ˀ	f	# _
ɓ̥ˀ	p	# _
f	f	# _
ɓ̥ˀ	p	# _
b	p	# _
ɓˀ	b	# _
f	f	# _
ɓ̥ˀ	p	# _
b	f	# _
ɓˀ	b	# _
ɓ̥ˀ	ɓˀ	# _
f	f	# _
ɓ̥ˀ	p	# _
f	p	# _
f	p	# _
ɓ̥ˀ	p	# _
f	p	# _
ɓ̥ˀ	p	# _
ɓ̥ˀ	p	# _
f	p	# _
k l	d ∅	. _
k l	c ∅	. _
l	ɣ	. k _
k l	kʲ ∅	. _
kʰ l	kʰ w	. _
kʰ l	cʰ ∅	. _
kʰ l	kʰ ɣ	. _
kʰ l	kʰʲ ∅	. _
t͡s ⁿ r	tʲ ∅	. _
t͡s ⁿ r	dʲ ∅	. _
t͡s ⁿ	p	. _ r
l	ŋʷ	. _
ɲ	nʲ	. _
ɲ	nʲ	. _
ɲ	nʲ	. _
ɲ	nʲ	. _
ɲ	ŋʲ	. _
m	m	. _
m	m	. _
n	n	. _
n	n	. _
ɲ	nʲ	. _
ɲ	nʲ	. _
ɲ	nʲ	. _
ɲ	nʲ	. _
ɲ	ŋʲ	. _
kʰ m	ŋʷ ∅	. _
kʰ m	∅ m	. _
kʰ m	∅ m	. _
kʰ n	k j	. _
t n	t͡s ∅	. _
p	m	. _ n
